#Ticker,Company Name,Market Cap,Sector,Volatility,Investor Rating,Investor Style,Starting Price
AAPL,Apple Inc.,4,Technology,Stable,4,1,190.25
MSFT,Microsoft Corp.,4,Technology,Stable,4,1,343.75
AMZN,Amazon.com Inc.,4,Consumer Discretionary,Normal,3,2,129.56
GOOGL,Alphabet Inc. (Class A),4,Technology,Normal,4,2,127.4
TSLA,Tesla Inc.,4,Consumer Discretionary,High,2,2,258.44
NVDA,NVIDIA Corp.,4,Technology,High,4,2,923.12
META,Meta Platforms Inc.,4,Communication Services,Normal,3,2,364.22
BRK.B,Berkshire Hathaway Inc.,4,Financials,Low,3,3,413.7
JPM,JP Morgan Chase & Co.,4,Financials,Low,3,1,158.5
JNJ,Johnson & Johnson,4,Healthcare,Stable,2,5,165.3
V,Visa Inc.,4,Financials,Low,3,1,248.6
PG,Procter & Gamble Co.,4,Consumer Staples,Stable,3,5,156.15
UNH,UnitedHealth Group Inc.,4,Healthcare,Low,4,1,505.2
HD,Home Depot Inc.,4,Consumer Discretionary,Normal,3,1,322.45
MA,Mastercard Inc.,4,Financials,Low,3,1,418.25
XOM,Exxon Mobil Corp.,4,Energy,Normal,2,5,113.25
CVX,Chevron Corp.,4,Energy,Normal,2,5,157.35
BAC,Bank of America Corp.,4,Financials,Normal,2,6,34.55
PFE,Pfizer Inc.,4,Healthcare,Low,2,5,34.9
KO,Coca-Cola Co.,4,Consumer Staples,Stable,3,5,61.2
PEP,PepsiCo Inc.,4,Consumer Staples,Low,3,5,176.9
INTC,Intel Corp.,3,Technology,Normal,2,3,34.88
CSCO,Cisco Systems Inc.,3,Technology,Low,2,5,54.75
T,AT&T Inc.,3,Communication Services,High,1,5,16.28
WMT,Walmart Inc.,4,Consumer Staples,Low,3,1,158.45
DIS,Walt Disney Co.,3,Communication Services,High,2,6,85.62
MRK,Merck & Co. Inc.,4,Healthcare,Low,3,1,131.8
ABBV,AbbVie Inc.,4,Healthcare,Low,3,5,172.1
ORCL,Oracle Corp.,3,Technology,Normal,3,3,112.8
NKE,Nike Inc.,3,Consumer Discretionary,Normal,2,2,98.45
LLY,Eli Lilly and Co.,4,Healthcare,Low,4,2,892.6
ADBE,Adobe Inc.,3,Technology,Normal,3,2,552.25
CRM,Salesforce Inc.,3,Technology,Normal,3,2,254.8
ABT,Abbott Laboratories,4,Healthcare,Low,3,6,105.4
MCD,McDonaldâ€™s Corp.,4,Consumer Discretionary,Low,4,5,287.9
COST,Costco Wholesale Corp.,4,Consumer Staples,Low,4,5,782.2
AVGO,Broadcom Inc.,4,Technology,Normal,3,2,1270.75
TXN,Texas Instruments Inc.,3,Technology,Low,2,5,176.25
GE,General Electric Co.,3,Industrials,Normal,3,6,168.1
AMD,Advanced Micro Devices Inc.,3,Technology,High,3,2,171.3
PLTR,Palantir Technologies Inc.,2,Technology,High,3,2,23.45
RIVN,Rivian Automotive Inc.,2,Consumer Discretionary,Extreme,2,4,19.67
FUBO,FuboTV Inc.,1,Communication Services,Extreme,1,4,2.31
SOFI,SoFi Technologies Inc.,2,Financials,High,2,2,7.85
U,Unity Software Inc.,2,Technology,High,2,2,28.67
RUN,Sunrun Inc.,1,Energy,Extreme,1,3,13.76
GPRO,GoPro Inc.,1,Technology,High,1,4,3.26
AFRM,Affirm Holdings Inc.,2,Financials,Extreme,2,4,18.14
NIO,NIO Inc.,2,Consumer Discretionary,High,2,2,8.19
CHPT,ChargePoint Holdings Inc.,1,Industrials,Extreme,1,4,1.92
WISH,ContextLogic Inc.,1,Consumer Discretionary,Extreme,1,4,0.65
CLOV,Clover Health Investments Corp.,1,Healthcare,Extreme,1,4,0.89
WKHS,Workhorse Group Inc.,1,Industrials,Extreme,1,4,0.42
SNDL,SNDL Inc.,1,Healthcare,Extreme,1,4,1.76
BB,BlackBerry Ltd.,2,Technology,High,2,3,3.84
OPEN,Opendoor Technologies Inc.,2,Real Estate,High,2,4,2.31
HIMS,Hims & Hers Health Inc.,2,Healthcare,High,3,2,17.45
BMBL,Bumble Inc.,2,Communication Services,Normal,2,2,13.84
APPH,AppHarvest Inc.,1,Industrials,Extreme,1,4,0.67
DNA,Ginkgo Bioworks Holdings Inc.,2,Healthcare,Extreme,1,4,1.23
RIOT,Riot Platforms Inc.,2,Financials,Extreme,3,4,15.72
MARA,Marathon Digital Holdings Inc.,2,Financials,Extreme,3,4,17.35
TLRY,Tilray Brands Inc.,1,Healthcare,Extreme,1,4,2.19
CANO,Cano Health Inc.,1,Healthcare,Extreme,1,4,0.28
NOVA,Sunnova Energy International Inc.,2,Energy,Extreme,2,2,10.76
DNMR,Danimer Scientific Inc.,1,Materials,Extreme,1,4,0.75
ASTR,Astra Space Inc.,1,Industrials,Extreme,1,4,0.37
INDI,Indie Semiconductor Inc.,2,Technology,High,2,2,7.15
SKLZ,Skillz Inc.,1,Communication Services,Extreme,1,4,0.43
SABR,Sabre Corp.,2,Technology,High,2,3,3.25
NKLA,Nikola Corp.,2,Industrials,Extreme,1,4,0.92
GOSS,Gossamer Bio Inc.,1,Healthcare,Extreme,1,4,0.91
BBIG,Vinco Ventures Inc.,1,Communication Services,Extreme,1,4,0.12
LMND,Lemonade Inc.,2,Financials,High,2,2,11.72
AEHR,Aehr Test Systems,2,Technology,High,3,2,23.51
AVXL,Anavex Life Sciences Corp.,2,Healthcare,High,2,2,6.38
FSLY,Fastly Inc.,2,Technology,High,2,2,13.26
BIGC,BigCommerce Holdings Inc.,2,Technology,High,2,2,8.42
MVIS,MicroVision Inc.,2,Technology,Extreme,1,4,1.45
VERU,Veru Inc.,1,Healthcare,Extreme,1,4,0.89